date,region,scheduled_maintenance,avg_rack_temperature_c,power_usage_mw,network_latency_ms,support_tickets,capacity_used_pct,day_of_week,day_of_month,days_since_start,support_tickets_next_1d
2026-01-01,bhs,0,55.04,0.601,21.54,6,54.9,3,1,0,5
2026-01-02,bhs,0,55.49,0.5,23.13,5,75.41,4,2,1,3
2026-01-03,bhs,0,52.26,0.54,21.86,3,52.25,5,3,2,3
2026-01-04,bhs,0,50.62,0.483,18.65,3,61.28,6,4,3,5
2026-01-05,bhs,0,57.09,0.493,19.49,5,45.81,0,5,4,5
2026-01-06,bhs,0,56.43,0.615,24.03,5,73.66,1,6,5,9
2026-01-07,bhs,1,56.53,0.779,22.17,9,80.38,2,7,6,3
2026-01-08,bhs,0,55.98,0.494,25.85,3,64.12,3,8,7,5
2026-01-09,bhs,0,55.47,0.605,14.89,5,93.01,4,9,8,8
2026-01-10,bhs,0,52.04,0.582,21.36,8,49.72,5,10,9,5
2026-01-11,bhs,0,51.8,0.503,23.77,5,77.55,6,11,10,3
2026-01-12,bhs,0,55.26,0.552,29.62,3,64.97,0,12,11,2
2026-01-13,bhs,0,55.62,0.475,25.41,2,67.75,1,13,12,4
2026-01-14,bhs,0,55.97,0.526,21.14,4,62.86,2,14,13,4
2026-01-15,bhs,0,54.06,0.642,14.9,4,74.05,3,15,14,2
2026-01-16,bhs,0,52.58,0.457,11.32,2,69.59,4,16,15,7
2026-01-17,bhs,0,50.92,0.533,19.31,7,58.76,5,17,16,5
2026-01-18,bhs,0,49.14,0.64,24.7,5,67.6,6,18,17,6
2026-01-19,bhs,0,54.12,0.451,14.51,6,62.1,0,19,18,3
2026-01-20,bhs,0,52.45,0.39,10.36,3,73.28,1,20,19,6
2026-01-21,bhs,0,54.29,0.803,11.54,6,85.06,2,21,20,3
2026-01-22,bhs,0,54.23,0.533,17.49,3,55.57,3,22,21,0
2026-01-23,bhs,0,52.2,0.498,17.28,0,77.7,4,23,22,4
2026-01-24,bhs,0,47.58,0.675,26.79,4,63.55,5,24,23,5
2026-01-25,bhs,0,49.02,0.584,19.59,5,59.58,6,25,24,2
2026-01-26,bhs,0,54.18,0.472,13.24,2,65.33,0,26,25,5
2026-01-27,bhs,0,54.1,0.668,20.17,5,68.88,1,27,26,5
2026-01-28,bhs,0,53.9,0.608,18.14,5,89.72,2,28,27,5
2026-01-29,bhs,0,53.02,0.659,24.59,5,68.61,3,29,28,7
2026-01-30,bhs,0,54.0,0.588,17.05,7,60.88,4,30,29,7
2026-01-31,bhs,0,50.14,0.539,14.58,7,72.83,5,31,30,5
2026-02-01,bhs,0,50.92,0.562,16.17,5,65.13,6,1,31,6
2026-02-02,bhs,0,55.57,0.518,18.76,6,50.48,0,2,32,4
2026-02-03,bhs,0,57.07,0.504,8.69,4,49.83,1,3,33,7
2026-02-04,bhs,0,56.02,0.537,19.85,7,76.98,2,4,34,6
2026-02-05,bhs,0,57.28,0.544,29.83,6,84.79,3,5,35,6
2026-02-06,bhs,0,55.8,0.498,31.07,6,58.6,4,6,36,4
2026-02-07,bhs,0,51.47,0.6,7.64,4,67.34,5,7,37,2
2026-02-08,bhs,0,52.45,0.638,15.95,2,66.47,6,8,38,3
2026-02-09,bhs,0,56.19,0.585,13.84,3,68.42,0,9,39,4
2026-02-10,bhs,0,56.77,0.588,19.2,4,60.26,1,10,40,5
2026-02-11,bhs,0,55.74,0.514,22.47,5,65.11,2,11,41,6
2026-02-12,bhs,0,56.24,0.659,28.49,6,43.33,3,12,42,4
2026-02-13,bhs,0,55.03,0.515,17.45,4,70.04,4,13,43,5
2026-02-14,bhs,0,51.53,0.672,6.19,5,84.55,5,14,44,0
2026-02-15,bhs,0,51.47,0.511,14.74,0,76.69,6,15,45,2
2026-02-16,bhs,0,54.31,0.712,16.57,2,56.23,0,16,46,4
2026-02-17,bhs,0,53.47,0.543,30.52,4,69.58,1,17,47,2
2026-02-18,bhs,0,53.38,0.603,20.76,2,78.4,2,18,48,0
2026-02-19,bhs,0,53.65,0.786,16.44,0,57.5,3,19,49,9
2026-02-20,bhs,1,52.13,0.763,26.7,9,65.04,4,20,50,10
2026-02-21,bhs,1,48.73,0.563,37.97,10,90.35,5,21,51,4
2026-02-22,bhs,0,48.33,0.71,7.92,4,64.02,6,22,52,2
2026-02-23,bhs,0,53.57,0.529,21.21,2,60.47,0,23,53,7
2026-02-24,bhs,0,54.83,0.554,17.12,7,90.86,1,24,54,1
2026-02-25,bhs,0,52.5,0.536,30.11,1,61.1,2,25,55,3
2026-02-26,bhs,0,53.49,0.514,25.32,3,86.65,3,26,56,4
2026-02-27,bhs,0,54.7,0.522,2.0,4,72.41,4,27,57,3
2026-02-28,bhs,0,49.93,0.444,26.77,3,70.06,5,28,58,2
