server_id,customer_id,server_type,region,os_family,cpu_cores,ram_gb,disk_tb,age_days,has_gpu,is_managed
S000000,C00461,vps,waw,linux,8,16,2.0,1339,0,0
S000001,C00187,dedicated,eri,linux,4,4,2.0,892,0,0
S000002,C00691,gpu,rbx,windows,8,32,0.25,492,1,0
S000003,C00730,dedicated,sbg,managed,64,4,2.0,1192,0,1
S000004,C00271,dedicated,bhs,linux,4,32,0.5,312,0,0
S000005,C00822,vps,rbx,windows,2,4,0.5,1274,0,0
S000006,C00096,dedicated,sbg,linux,2,4,4.0,1418,0,0
S000007,C00819,dedicated,gra,linux,2,32,4.0,1007,0,0
S000008,C00691,storage,gra,linux,8,32,0.5,796,0,0
S000009,C00201,vps,rbx,linux,16,16,0.5,1011,0,0
S000010,C00585,dedicated,lim,linux,4,64,0.5,2104,0,0
S000011,C00279,vps,rbx,managed,2,64,1.0,1657,0,1
S000012,C00719,storage,rbx,linux,8,16,1.0,13,0,0
S000013,C00144,dedicated,waw,linux,4,256,0.1,637,0,0
S000014,C00220,dedicated,eri,linux,8,16,4.0,55,0,0
S000015,C00276,vps,sbg,managed,32,8,1.0,523,0,1
S000016,C00179,vps,gra,linux,4,64,0.1,1712,0,0
S000017,C00299,database,bhs,bsd,8,16,2.0,1879,0,1
S000018,C00542,vps,rbx,windows,16,64,2.0,1005,0,0
S000019,C00569,dedicated,bhs,linux,16,4,0.5,1516,0,0
S000020,C00498,vps,rbx,linux,16,4,1.0,815,0,0
S000021,C00170,vps,gra,linux,16,4,2.0,1049,0,0
S000022,C00182,dedicated,rbx,windows,8,32,8.0,1824,0,0
S000023,C00827,vps,bhs,linux,8,64,0.5,606,0,0
S000024,C00226,dedicated,rbx,linux,16,16,1.0,701,0,0
S000025,C00092,gpu,rbx,linux,16,4,2.0,301,1,0
S000026,C00408,storage,sbg,linux,16,16,8.0,481,0,0
S000027,C00006,vps,waw,windows,4,16,0.1,83,0,0
S000028,C00308,database,gra,windows,16,32,1.0,1794,0,1
S000029,C00769,database,bhs,linux,4,32,2.0,1875,0,1
S000030,C00240,dedicated,bhs,linux,2,4,0.1,927,0,0
S000031,C00633,vps,rbx,linux,4,16,0.5,1305,0,0
S000032,C00440,vps,eri,windows,4,32,1.0,548,0,0
S000033,C00319,dedicated,lim,linux,8,8,1.0,101,0,0
S000034,C00595,vps,rbx,windows,4,16,2.0,1135,0,0
S000035,C00535,dedicated,gra,linux,8,32,0.1,349,0,0
S000036,C00286,database,rbx,linux,8,16,2.0,1866,0,1
S000037,C00201,vps,rbx,bsd,2,4,0.5,615,0,0
S000038,C00825,storage,sbg,linux,4,8,2.0,1623,0,0
S000039,C00151,vps,lim,linux,8,32,0.5,579,0,0
S000040,C00863,dedicated,lim,linux,16,8,0.1,279,0,0
S000041,C00424,gpu,rbx,linux,4,64,8.0,1206,1,0
S000042,C00897,dedicated,sbg,managed,4,16,2.0,404,0,1
S000043,C00317,dedicated,gra,bsd,4,16,0.5,879,0,0
S000044,C00508,vps,sbg,windows,2,32,0.25,646,0,0
S000045,C00553,vps,gra,linux,2,16,1.0,1940,0,0
S000046,C00304,vps,eri,linux,64,8,8.0,1107,0,0
S000047,C00196,dedicated,lim,windows,2,4,0.5,1582,0,0
S000048,C00468,dedicated,rbx,linux,2,32,4.0,1295,0,0
S000049,C00596,dedicated,bhs,managed,32,16,0.5,2003,0,1
S000050,C00235,dedicated,sbg,linux,8,64,1.0,967,0,0
S000051,C00690,vps,waw,linux,8,16,0.5,1898,0,0
S000052,C00574,dedicated,sbg,linux,8,16,0.1,1976,0,0
S000053,C00149,dedicated,gra,linux,32,8,4.0,2027,0,0
